Teams,Rating
"green-bay-packers,new-orleans-saints,pittsburgh-steelers",92.07
"indianapolis-colts,minnesota-vikings,new-england-patriots",92.07
"indianapolis-colts,minnesota-vikings,tennessee-titans",92.07
"buffalo-bills,cleveland-browns,minnesota-vikings",92.08
"buffalo-bills,los-angeles-chargers,minnesota-vikings",92.08
"buffalo-bills,los-angeles-chargers,tennessee-titans",92.08
"carolina-panthers,cincinnati-bengals,cleveland-browns",92.08
"carolina-panthers,cleveland-browns,los-angeles-chargers",92.08
"carolina-panthers,jacksonville-jaguars,miami-dolphins",92.08
"carolina-panthers,minnesota-vikings,new-england-patriots",92.08
"cincinnati-bengals,denver-broncos,los-angeles-rams",92.08
"cleveland-browns,los-angeles-chargers,minnesota-vikings",92.08
"indianapolis-colts,los-angeles-chargers,seattle-seahawks",92.08
"jacksonville-jaguars,los-angeles-chargers,new-orleans-saints",92.08
"jacksonville-jaguars,los-angeles-chargers,tampa-bay-buccaneers",92.08
"jacksonville-jaguars,los-angeles-rams,pittsburgh-steelers",92.08
"los-angeles-chargers,new-orleans-saints,pittsburgh-steelers",92.08
"arizona-cardinals,buffalo-bills,cincinnati-bengals",92.09
"arizona-cardinals,cincinnati-bengals,new-orleans-saints",92.09
"arizona-cardinals,cleveland-browns,jacksonville-jaguars",92.09
"buffalo-bills,indianapolis-colts,minnesota-vikings",92.09
"carolina-panthers,los-angeles-rams,minnesota-vikings",92.09
"carolina-panthers,seattle-seahawks,tampa-bay-buccaneers",92.09
"cincinnati-bengals,minnesota-vikings,new-york-giants",92.09
"cleveland-browns,jacksonville-jaguars,new-england-patriots",92.09
"denver-broncos,jacksonville-jaguars,pittsburgh-steelers",92.09
"jacksonville-jaguars,los-angeles-chargers,new-england-patriots",92.09
"jacksonville-jaguars,los-angeles-rams,minnesota-vikings",92.09
"los-angeles-chargers,seattle-seahawks,tampa-bay-buccaneers",92.09
"buffalo-bills,carolina-panthers,new-york-jets",92.10
"buffalo-bills,los-angeles-rams,minnesota-vikings",92.10
"carolina-panthers,cincinnati-bengals,tampa-bay-buccaneers",92.10
"carolina-panthers,minnesota-vikings,new-orleans-saints",92.10
"cleveland-browns,indianapolis-colts,jacksonville-jaguars",92.10
"denver-broncos,green-bay-packers,seattle-seahawks",92.10
"green-bay-packers,houston-texans,los-angeles-chargers",92.10
"green-bay-packers,indianapolis-colts,los-angeles-chargers",92.10
"arizona-cardinals,los-angeles-rams,new-york-jets",92.11
"buffalo-bills,denver-broncos,green-bay-packers",92.11
"carolina-panthers,new-orleans-saints,tampa-bay-buccaneers",92.11
"cincinnati-bengals,denver-broncos,minnesota-vikings",92.11
"cincinnati-bengals,minnesota-vikings,tampa-bay-buccaneers",92.11
"cincinnati-bengals,new-orleans-saints,tennessee-titans",92.11
"green-bay-packers,new-york-jets,seattle-seahawks",92.11
"jacksonville-jaguars,seattle-seahawks,washington-commanders",92.11
"minnesota-vikings,new-england-patriots,seattle-seahawks",92.11
"arizona-cardinals,carolina-panthers,cincinnati-bengals",92.12
"arizona-cardinals,carolina-panthers,cleveland-browns",92.12
"arizona-cardinals,green-bay-packers,new-york-jets",92.12
"atlanta-falcons,cincinnati-bengals,los-angeles-chargers",92.12
"buffalo-bills,carolina-panthers,minnesota-vikings",92.12
"carolina-panthers,denver-broncos,miami-dolphins",92.12
"carolina-panthers,green-bay-packers,minnesota-vikings",92.12
"carolina-panthers,new-england-patriots,seattle-seahawks",92.12
"carolina-panthers,new-orleans-saints,pittsburgh-steelers",92.12
"carolina-panthers,new-york-giants,seattle-seahawks",92.12
"cincinnati-bengals,detroit-lions,los-angeles-chargers",92.12
"cincinnati-bengals,new-england-patriots,new-york-giants",92.12
"cincinnati-bengals,pittsburgh-steelers,seattle-seahawks",92.12
"denver-broncos,new-york-jets,washington-commanders",92.12
"green-bay-packers,houston-texans,new-york-jets",92.12
"houston-texans,new-orleans-saints,new-york-jets",92.12
"indianapolis-colts,minnesota-vikings,seattle-seahawks",92.12
"los-angeles-chargers,new-york-jets,pittsburgh-steelers",92.12
"minnesota-vikings,new-england-patriots,tampa-bay-buccaneers",92.12
"new-york-giants,new-york-jets,tennessee-titans",92.12
"arizona-cardinals,denver-broncos,new-orleans-saints",92.13
"atlanta-falcons,los-angeles-chargers,new-york-jets",92.13
"buffalo-bills,minnesota-vikings,new-york-jets",92.13
"carolina-panthers,denver-broncos,new-york-jets",92.13
"carolina-panthers,jacksonville-jaguars,new-orleans-saints",92.13
"carolina-panthers,jacksonville-jaguars,philadelphia-eagles",92.13
"carolina-panthers,new-york-jets,tennessee-titans",92.13
"cincinnati-bengals,cleveland-browns,new-england-patriots",92.13
"cincinnati-bengals,denver-broncos,detroit-lions",92.13
"cincinnati-bengals,los-angeles-rams,new-orleans-saints",92.13
"cincinnati-bengals,new-york-jets,tampa-bay-buccaneers",92.13
"cincinnati-bengals,new-york-jets,tennessee-titans",92.13
"denver-broncos,jacksonville-jaguars,new-york-giants",92.13
"denver-broncos,los-angeles-chargers,minnesota-vikings",92.13
"denver-broncos,los-angeles-chargers,tampa-bay-buccaneers",92.13
"denver-broncos,pittsburgh-steelers,seattle-seahawks",92.13
"green-bay-packers,jacksonville-jaguars,los-angeles-rams",92.13
"green-bay-packers,minnesota-vikings,new-england-patriots",92.13
"indianapolis-colts,new-york-giants,new-york-jets",92.13
"los-angeles-chargers,pittsburgh-steelers,tennessee-titans",92.13
"new-england-patriots,new-york-giants,new-york-jets",92.13
"buffalo-bills,cincinnati-bengals,seattle-seahawks",92.14
"buffalo-bills,los-angeles-rams,new-york-jets",92.14
"buffalo-bills,new-orleans-saints,pittsburgh-steelers",92.14
"carolina-panthers,denver-broncos,tampa-bay-buccaneers",92.14
"cincinnati-bengals,denver-broncos,miami-dolphins",92.14
"cincinnati-bengals,green-bay-packers,tampa-bay-buccaneers",92.14
"cincinnati-bengals,las-vegas-raiders,seattle-seahawks",92.14
"cincinnati-bengals,los-angeles-chargers,washington-commanders",92.14
"cincinnati-bengals,new-york-giants,seattle-seahawks",92.14
"denver-broncos,houston-texans,new-york-jets",92.14
"denver-broncos,jacksonville-jaguars,miami-dolphins",92.14
"denver-broncos,seattle-seahawks,tampa-bay-buccaneers",92.14
"jacksonville-jaguars,miami-dolphins,new-orleans-saints",92.14
"jacksonville-jaguars,new-england-patriots,new-york-jets",92.14
"los-angeles-chargers,minnesota-vikings,tampa-bay-buccaneers",92.14
"new-orleans-saints,new-york-jets,tampa-bay-buccaneers",92.14
"arizona-cardinals,buffalo-bills,carolina-panthers",92.15
"arizona-cardinals,new-york-jets,pittsburgh-steelers",92.15
"buffalo-bills,los-angeles-chargers,philadelphia-eagles",92.15
"carolina-panthers,new-england-patriots,new-york-jets",92.15
"carolina-panthers,pittsburgh-steelers,seattle-seahawks",92.15
